代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,买入,卖出
301633,港迪技术,46.15,0.0,0.0,437135.0,20169040.0,,,,,46.68,45.21,46.11,46.15,2569632000.0,,,,,,46.15,63.22208333333333,-27.00335457678949,True,2026-06-19,39.28543344386545,,5.714285714285714,0.7792207792207793,True,2026-06-19,2569632000.0,,,,沿用上一版：当前数据待补齐,2.7618585188694147,3.2502708559046587,True,2026-06-03,,未知,所属行业批量超时,46.14,46.15
600028,中国石化,4.71,-2.887,-0.14,232692301.0,1107934262.0,,,,,4.85,4.71,4.85,4.85,569559171985.7645,,,,,,4.71,5.808166666666667,-18.90728571838504,True,2026-06-19,16.0248275862069,,82.74012676743052,21.550463188688447,True,2026-06-19,569559171985.7645,,,,沿用上一版：当前数据待补齐,0.6857471264367816,4.246284501061572,True,2026-06-17,,未知,所属行业批量超时,4.71,4.72
600039,四川路桥,8.27,-0.958,-0.08,13631432.0,112816514.0,,,,,8.36,8.21,8.3,8.35,71912534634.66054,,,,,,8.27,9.400083333333331,-12.022056542051915,True,2026-06-19,10.250716049382705,,62.0672842515846,46.9527059970746,False,2026-06-19,71912534634.66054,,,,沿用上一版：当前数据待补齐,1.357913580246913,4.945586457073761,True,2025-10-23,,未知,所属行业批量超时,8.27,8.3
600048,保利发展,4.92,-3.15,-0.16,116148187.0,578532588.0,,,,,5.06,4.92,5.05,5.08,58894581616.75895,,,,,,4.92,6.162416666666667,-20.161192172984087,True,2026-06-19,56.919581643114185,,92.69776876267748,0.0980392156862745,True,2026-06-19,58894581616.75895,,,,沿用上一版：当前数据待补齐,0.3060653188180401,3.4552845528455287,True,2025-08-20,,未知,所属行业批量超时,4.92,4.93
600057,厦门象屿,5.86,-1.347,-0.08,13030056.0,76791777.0,,,,,5.96,5.85,5.88,5.94,16645853526.58158,,,,,,5.86,7.686166666666666,-23.759134375609847,True,2026-06-19,12.750695035460987,,84.93417844953682,28.230131643100925,True,2026-06-19,16645853526.58158,,,,沿用上一版：当前数据待补齐,1.055631205673759,3.754266211604096,True,2026-06-17,,未知,所属行业批量超时,5.86,5.87
600067,冠城新材,3.39,0.296,0.01,46030900.0,155181053.0,,,,,3.43,3.28,3.39,3.38,4717757025.569834,,,,,,3.39,3.924333333333333,-13.615900789943067,True,2026-06-19,244.5439944134078,,99.14933837429112,79.71721111652852,False,2026-06-19,4717757025.569834,,,,沿用上一版：当前数据待补齐,0.8427653631284919,7.374631268436578,True,2026-06-05,,未知,所属行业批量超时,3.38,3.39
600120,浙江东方,4.57,0.661,0.03,46773768.0,214624273.0,,,,,4.69,4.46,4.55,4.54,15608293418.794008,,,,,,4.57,5.858833333333333,-21.99812249310158,True,2026-06-19,16.85589788732394,,42.09756097560975,42.97560975609756,False,2026-06-19,15608293418.794008,,,,沿用上一版：当前数据待补齐,0.9494014084507036,3.6761487964989055,True,2026-06-05,,未知,所属行业批量超时,4.57,4.58
600125,铁龙物流,5.38,-0.738,-0.04,8779942.0,47187768.0,,,,,5.43,5.33,5.42,5.42,7023707681.729368,,,,,,5.38,6.257333333333334,-14.020882164926496,True,2026-06-19,13.032739273927382,,0.196078431372549,0.0980392156862745,True,2026-06-19,7023707681.729368,,,,沿用上一版：当前数据待补齐,0.8966666666666673,3.9219330855018586,True,2026-06-12,,未知,所属行业批量超时,5.38,5.39
600132,重庆啤酒,47.1,-2.605,-1.26,4571173.0,216322755.0,,,,,48.6,46.91,48.38,48.36,22795043425.41466,,,,,,47.1,53.85958333333333,-12.550381779782304,True,2026-06-17,19.05719598363704,,1.0349926071956628,10.202069985214392,True,2026-06-17,22795043425.41466,,,,沿用上一版：当前数据待补齐,12.46249535143176,4.670912951167729,True,2025-12-18,,未知,所属行业批量超时,47.1,47.11
600167,联美控股,5.88,-3.764,-0.23,9946305.0,58901741.0,,,,,6.11,5.85,6.09,6.11,13305501922.473986,,,,,,5.88,6.853833333333333,-14.208593731002118,True,2026-06-17,22.15196531791908,,89.75873953717381,3.4958148695224027,True,2026-06-17,13305501922.473986,,,,沿用上一版：当前数据待补齐,1.113121387283237,3.401360544217688,True,2025-06-17,,未知,所属行业批量超时,5.87,5.88
600197,伊力特,10.03,-2.621,-0.27,8857173.0,89030920.0,,,,,10.31,9.98,10.3,10.3,4745942411.460593,,,,,,10.03,12.788083333333336,-21.56760525749885,True,2026-06-17,26.80431034482758,,43.798828125,0.048828125,True,2026-06-17,4745942411.460593,,,,沿用上一版：当前数据待补齐,1.194047619047619,4.48654037886341,True,2025-07-03,,未知,所属行业批量超时,10.03,10.04
600216,浙江医药,11.77,-1.589,-0.19,15165885.0,179300101.0,,,,,11.96,11.75,11.95,11.96,11318476317.499992,,,,,,11.77,14.656,-19.69159388646289,True,2026-06-17,15.066918767507,,26.12745098039216,4.313725490196078,True,2026-06-17,11318476317.499992,,,,沿用上一版：当前数据待补齐,1.005560224089635,3.143585386576041,True,2025-07-21,,未知,所属行业批量超时,11.77,11.78
600219,南山铝业,4.63,-1.279,-0.06,140938373.0,655238271.0,,,,,4.72,4.59,4.67,4.69,53169538218.13669,,,,,,4.63,6.001250000000001,-22.849406373672167,True,2026-06-17,12.86573741007194,,44.18377321603128,78.88563049853371,False,2026-06-17,53169538218.13669,,,,沿用上一版：当前数据待补齐,1.040917266187051,9.382289416846652,True,2026-05-20,,未知,所属行业批量超时,4.62,4.63
600248,陕建股份,2.93,-0.678,-0.02,18860805.0,54894560.0,,,,,2.96,2.86,2.95,2.95,10957424387.744246,,,,,,2.93,3.473333333333333,-15.6429942418426,True,2026-06-17,9.890376100198305,,53.73647984267453,0.0490677134445534,True,2026-06-17,10957424387.744246,,,,沿用上一版：当前数据待补齐,0.3957183908045975,3.071672354948805,True,2025-07-17,,未知,所属行业批量超时,2.92,2.93
600273,嘉化能源,6.95,-1.278,-0.09,13625439.0,94681496.0,,,,,7.04,6.92,7.0,7.04,9113598397.624071,,,,,,6.95,9.222833333333334,-24.64354771671757,True,2026-06-17,11.17518610421836,,59.88286969253295,0.1464128843338213,True,2026-06-17,9113598397.624071,,,,沿用上一版：当前数据待补齐,0.9226426799007438,6.474820143884892,True,2026-05-25,,未知,所属行业批量超时,6.95,6.96
600283,钱江水利,8.2,-1.679,-0.14,2254102.0,18556437.0,,,,,8.38,8.18,8.38,8.34,4598764163.9913225,,,,,,8.2,9.16775,-10.556025197022178,True,2026-06-17,22.99023861171366,,25.68218298555377,0.098570724494825,True,2026-06-17,4598764163.9913225,,,,沿用上一版：当前数据待补齐,1.449674620390454,3.0487804878048785,True,2025-07-10,,未知,所属行业批量超时,8.2,8.22
600300,维维股份,3.0,-2.28,-0.07,21378700.0,64252848.0,,,,,3.07,2.98,3.06,3.07,4851426540.331491,,,,,,3.0,3.44275,-12.86035872485658,True,2026-06-17,13.947513812154694,,5.154639175257731,4.418262150220913,True,2026-06-17,4851426540.331491,,,,沿用上一版：当前数据待补齐,1.3093922651933696,3.4666666666666672,True,2026-05-28,,未知,所属行业批量超时,3.0,3.01
600332,白云山,21.11,-0.189,-0.04,5431378.0,114194224.0,,,,,21.18,20.91,21.18,21.15,34320446933.148643,,,,,,21.11,23.894583333333333,-11.653617451653965,True,2026-06-17,11.650417766051016,,9.824046920821116,0.0977517106549364,True,2026-06-17,34320446933.148643,,,,沿用上一版：当前数据待补齐,0.8633377308707127,5.921364282330649,True,2026-06-16,,未知,所属行业批量超时,21.11,21.12
600346,恒力石化,17.82,0.281,0.05,46359301.0,829623987.0,,,,,18.4,17.5,17.52,17.77,125436758186.88625,,,,,,17.82,22.137833333333333,-19.504317646261683,True,2026-06-17,14.03951764180437,,40.8004158004158,22.06457925636008,True,2026-06-17,125436758186.88625,,,,沿用上一版：当前数据待补齐,1.7748369807949964,4.601571268237935,True,2026-06-02,,未知,所属行业批量超时,17.81,17.82
600371,万向德农,6.66,-3.338,-0.23,4696930.0,31503264.0,,,,,6.88,6.65,6.88,6.89,1948569480.0,,,,,,6.66,8.683249999999997,-23.30060749143464,True,2026-06-17,351.54302654120096,,98.6738703339882,8.9128305582762,True,2026-06-17,1948569480.0,,,,沿用上一版：当前数据待补齐,3.635504587155965,3.7537537537537538,True,2026-05-26,,未知,所属行业批量超时,6.66,6.67
600420,国药现代,8.37,-1.297,-0.11,5102662.0,42835798.0,,,,,8.47,8.36,8.47,8.48,11225615431.935492,,,,,,8.37,10.070083333333333,-16.882515040425027,True,2026-06-17,15.625161290322575,,49.46236559139785,0.0488758553274682,True,2026-06-17,11225615431.935492,,,,沿用上一版：当前数据待补齐,0.8100000000000005,5.973715651135007,True,2026-06-03,,未知,所属行业批量超时,8.36,8.37
