代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
002228,合兴包装,3.23,3.23,3.24,3.23,3.24,3.25,3.19,13598860.0,43786293.0,0.0,0.0,3.23,4.126833333333334,-21.7317555833771,True,2026-06-16,41.51118090452262,1.298492462311559,92.138671875,41.11328125,False,2026-06-16,3919235581.329147,,,,正常,3919235581.329147,8.668730650154798,True,2026-01-08,,纸包装,
002233,塔牌集团,7.57,7.57,7.58,7.75,7.72,7.72,7.53,8168600.0,62134101.0,-2.323,-0.18,7.57,8.764916666666666,-13.632949543159745,True,2026-06-16,14.430045197740116,0.7270621468926554,67.61391474767271,7.055365017148457,True,2026-06-16,8888319345.731075,,,,正常,8888319345.731075,6.340819022457067,True,2026-04-30,,水泥制造,
002249,大洋电机,8.29,8.28,8.29,8.15,8.13,8.35,8.1,37901581.0,312641041.0,1.718,0.14,8.29,9.734916666666667,-14.842619779316735,True,2026-06-16,18.627122448979595,2.013285714285712,14.981273408239701,84.43789887088856,True,2026-06-16,20439486629.99082,,,,正常,20439486629.99082,3.5705669481302778,True,2026-05-20,,电机Ⅲ,
002264,新 华 都,6.27,6.27,6.28,6.35,6.3,6.32,6.21,13265800.0,83083999.0,-1.26,-0.08,6.27,8.856,-29.20054200542006,True,2026-06-16,28.189746835443053,2.1645569620253164,65.59055118110237,7.086999022482894,True,2026-06-16,4513216851.0,,,,正常,4513216851.0,3.1897926634768745,True,2026-06-04,,营销代理,
002270,华明装备,21.05,21.04,21.05,20.55,20.54,21.16,20.2,29489100.0,614039998.0,2.433,0.5,21.05,27.431916666666666,-23.264567125276812,True,2026-06-16,26.89342532467529,6.039914772727272,82.20918866080157,92.47311827956989,False,2026-06-16,18865545322.686676,,,,正常,18865545322.686676,3.9429928741092644,True,2026-04-30,,输变电设备,
002271,东方雨虹,12.81,12.8,12.81,12.56,12.57,12.95,12.52,43193405.0,552055027.0,1.99,0.25,12.81,15.289833333333332,-16.21883822583633,True,2026-06-16,94.81137484586927,1.4926572133168925,96.61487236403997,20.825147347740668,True,2026-06-16,30599245283.839085,,,,正常,30599245283.839085,7.220921155347384,True,2025-08-27,,防水材料,
002275,桂林三金,12.4,12.4,12.42,12.63,12.61,12.63,12.36,2009097.0,24984639.0,-1.821,-0.23,12.4,13.826999999999998,-10.320387647356611,True,2026-06-16,16.096894409937892,2.1907522429261563,6.006893156080748,0.14771048744460857,True,2026-06-16,7285850639.999999,,,,正常,7285850639.999999,4.032258064516129,True,2026-06-04,,中药,
002304,洋河股份,42.8,42.8,42.81,43.09,43.0,43.25,42.18,6478598.0,276058452.0,-0.673,-0.29,42.8,52.631166666666665,-18.679362988343406,True,2026-06-16,63.491097308488634,1.3114699792960662,98.583984375,0.146484375,True,2026-06-16,64475849167.022766,,,,正常,64475849167.022766,5.41355140186916,True,2025-06-27,,白酒Ⅲ,
002311,海大集团,42.5,42.5,42.52,44.38,44.11,44.33,42.26,15188808.0,652528790.0,-4.236,-1.88,42.5,50.82874999999999,-16.385903647050128,True,2026-06-16,17.996236559139792,2.778494623655912,5.419921875,0.048828125,True,2026-06-16,69928736445.00002,,,,正常,69928736445.00002,3.058823529411765,True,2025-09-25,,水产饲料,
002315,焦点科技,24.93,24.93,24.94,25.14,25.14,25.14,24.68,4808200.0,119509135.0,-0.835,-0.21,24.93,32.82633333333333,-24.054874643324965,True,2026-06-16,21.00527101096225,2.7480694275274056,17.08984375,55.46875,True,2026-06-16,10281297260.696703,,,,正常,10281297260.696703,5.214600882470919,True,2026-04-23,,跨境电商,
002318,久立特材,23.09,23.09,23.1,23.46,23.34,23.74,22.82,12493311.0,290725280.0,-1.577,-0.37,23.09,29.63925,-22.09654427827965,True,2026-06-16,14.892779081461624,2.476969493798192,37.0406663400294,38.80450759431651,False,2026-06-16,22562871925.10964,,,,正常,22562871925.10964,4.330879168471199,True,2026-05-28,,特钢Ⅲ,
002322,理工能科,10.61,10.6,10.61,10.8,10.8,10.8,10.55,2693300.0,28618829.0,-1.759,-0.19,10.61,12.627083333333333,-15.974261672991263,True,2026-06-16,18.882497952497943,1.3642669942669938,54.154447702834794,29.081133919843598,True,2026-06-16,3878251761.9606886,,,,正常,3878251761.9606886,5.7492931196983985,True,2026-04-30,,垂直应用软件,
002351,漫步者,10.25,10.24,10.25,10.2,10.18,10.37,10.05,8523111.0,87149015.0,0.49,0.05,10.25,11.48875,-10.782287019910775,True,2026-06-16,21.13949912126538,2.963312829525484,1.5771315919172006,21.882700837851157,True,2026-06-16,9113346750.0,,,,正常,9113346750.0,4.390243902439025,True,2026-05-21,,品牌消费电子,
002352,顺丰控股,32.46,32.46,32.47,33.59,33.5,33.5,32.3,44411547.0,1448876841.0,-3.364,-1.13,32.46,36.828,-11.860540892798966,True,2026-06-16,14.3357824933687,1.6273050397877982,0.04930966469428008,0.04930966469428008,True,2026-06-16,163579911075.88168,,,,正常,163579911075.88168,4.097350585335798,True,2026-05-19,,快递,
002372,伟星新材,8.74,8.74,8.75,9.15,9.14,9.14,8.72,19042733.0,168032905.0,-4.481,-0.41,8.74,10.598916666666668,-17.538742167045385,True,2026-06-16,18.63811248808389,2.7828026692087713,17.93238608525233,0.04899559039686428,True,2026-06-16,13914412015.020014,,,,正常,13914412015.020014,5.148741418764303,True,2026-05-08,,管材,
