代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率_y,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格估值错误,市净率,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误
603008,ST喜临门,8.84,-5.05,-0.47,13601.0,12023284.0,0.0,0.37,-22.69,6.14,8.84,8.84,8.84,9.31,3255705125.0,3255705125.0,0.93,-58.94,-56.84,24.22,8.84,18.75825,-52.874068743086376,True,2026-05-08,24.22,0.93,66.40405177265053,0.04945598417408506,True,2026-05-08,3255705125.0,,0.93,9.04977375565611,True,2025-11-26,,家居用品,
603043,广州酒家,15.17,-0.85,-0.13,22612.0,34500228.0,1.5,0.4,40.89,0.88,15.39,15.16,15.26,15.3,8628253112.0,8555209562.0,2.16,-16.14,-13.95,17.62,15.17,16.991083333333332,-10.717876533279702,True,2026-05-08,17.62,2.16,6.9238377843719086,0.1483679525222552,True,2026-05-08,8628253112.0,,2.16,3.823335530652604,True,2025-12-31,,休闲食品,
603113,金能科技,5.79,-0.52,-0.03,119678.0,69384463.0,1.72,1.41,-2.08,0.78,5.86,5.76,5.78,5.82,4912760667.0,4912760667.0,0.67,-17.29,-5.24,-7.62,5.79,6.794833333333332,-14.788196914322139,True,2026-05-08,-7.62,0.67,,14.737883283877348,True,2026-05-08,4912760667.0,估值字段仍缺失：PE分位,0.67,6.131260794473229,True,2025-09-17,,化学原料,
603202,天有为,78.91,-0.79,-0.63,6808.0,53860219.0,0.91,1.36,24.87,1.11,79.5,78.78,79.4,79.54,12625600000.0,3962352967.0,1.84,-15.0,-14.05,15.62,78.91,92.618,-14.800578721198898,True,2026-05-08,15.62,1.84,97.2,0.8,True,2026-05-08,12625600000.0,,1.84,4.4227601064503865,True,2025-10-16,,汽车零部件,
603230,内蒙新华,10.89,0.18,0.02,9751.0,10610242.0,0.83,0.28,15.48,0.71,10.93,10.84,10.9,10.87,3849865470.0,3849865470.0,1.36,-17.25,-11.82,46.7,10.89,12.266166666666665,-11.21920730464555,True,2026-05-08,46.7,1.36,100.0,0.8530805687203791,True,2026-05-08,3849865470.0,,1.36,4.407713498622589,True,2025-06-19,,出版,
603277,银都股份,13.34,0.08,0.01,17393.0,23338041.0,2.7,0.29,49.45,1.78,13.58,13.22,13.27,13.33,8186748729.0,8134011974.0,2.87,-17.35,-20.74,24.93,13.34,15.936083333333332,-16.290598379986708,True,2026-05-08,24.93,2.87,90.25717111770524,33.7784371909001,False,2026-05-08,8186748729.0,,2.87,6.371814092953524,True,2025-10-20,,通用设备,
603369,今世缘,28.41,3.12,0.86,132821.0,373501385.0,5.05,1.07,6.39,1.88,28.75,27.36,27.6,27.55,35421589051.0,35421589051.0,1.97,-15.19,-18.32,15.11,28.41,32.387166666666666,-12.2800697807259,True,2026-05-08,15.11,1.97,7.81404549950544,1.2363996043521266,True,2026-05-08,35421589051.0,,1.97,4.223864836325237,True,2025-06-06,,白酒Ⅱ,
603456,九洲药业,13.6,-0.29,-0.04,76987.0,104938186.0,0.95,0.87,17.57,0.78,13.69,13.56,13.65,13.64,12096465981.0,12096465981.0,1.36,-25.44,-24.02,18.55,13.6,17.783416666666664,-23.524257149685322,True,2026-05-08,18.55,1.36,13.353115727002967,1.533135509396637,True,2026-05-08,12096465981.0,,1.36,3.6764705882352944,True,2025-09-08,,医疗服务,
603529,爱玛科技,23.25,0.26,0.06,46629.0,108536711.0,1.29,0.55,25.72,0.92,23.41,23.11,23.2,23.19,20178511832.0,19705780649.0,2.04,-21.35,-21.72,12.41,23.25,29.636833333333335,-21.550323077701737,True,2026-05-08,12.41,2.04,21.838111298482293,0.16863406408094433,True,2026-05-08,20178511832.0,,2.04,5.247311827956989,True,2025-09-11,,摩托车及其他,
603566,普莱柯,11.66,-0.09,-0.01,19134.0,22248255.0,0.86,0.55,24.76,0.65,11.7,11.6,11.63,11.67,4035086103.0,4035086103.0,1.52,-15.99,-6.19,23.35,11.66,13.1985,-11.656627647081097,True,2026-05-08,23.35,1.52,4.500494559841741,0.5934718100890208,True,2026-05-08,4035086103.0,,1.52,5.145797598627786,True,2025-10-17,,动物保健Ⅱ,
603569,长久物流,6.71,0.75,0.05,20954.0,14030064.0,1.35,0.35,1065.41,0.77,6.73,6.64,6.64,6.66,4049533654.0,4049533654.0,1.53,-9.32,-12.29,-44.79,6.71,7.465,-10.113864701942399,True,2026-05-08,-44.79,1.53,,7.665677546983185,True,2026-05-08,4049533654.0,估值字段仍缺失：PE分位,1.53,5.365126676602086,True,2025-10-22,,物流,
603589,口子窖,23.42,-0.09,-0.02,27111.0,63431958.0,1.02,0.45,10.65,1.34,23.52,23.28,23.39,23.44,14007958034.0,14007958034.0,1.31,-20.34,-22.06,35.78,23.42,28.393333333333334,-17.515848790795964,True,2026-05-08,35.78,1.31,99.50544015825915,0.09891196834817012,True,2026-05-08,14007958034.0,,1.31,5.5508112724167376,True,2025-07-07,,白酒Ⅱ,
603611,XD诺力股,20.03,0.0,0.0,44694.0,88638192.0,2.75,1.74,17.27,1.61,20.16,19.61,20.0,20.03,5159743844.0,5159743844.0,1.59,-12.23,-15.2,13.54,20.03,22.9035,-12.546117405636693,True,2026-05-08,13.54,1.59,36.053412462908014,7.121661721068249,True,2026-05-08,5159743844.0,,1.59,8.637044433349974,True,2026-05-08,,工程机械,
603833,欧派家居,47.57,2.3,1.07,24255.0,114856258.0,4.13,0.4,46.8,1.49,48.2,46.28,46.35,46.5,28977401883.0,28977401883.0,1.57,-22.46,-6.47,15.72,47.57,53.949666666666666,-11.825219803644138,True,2026-05-08,15.72,1.57,27.89317507418398,1.1869436201780417,True,2026-05-08,28977401883.0,,1.57,7.820054656295985,True,2026-01-09,,家居用品,
605259,绿田机械,19.66,-0.51,-0.1,7494.0,14719142.0,1.67,0.43,18.86,0.46,19.88,19.55,19.87,19.76,3390956800.0,3390956800.0,1.8,-12.54,-12.15,14.55,19.66,21.86841666666667,-10.098658262867687,True,2026-05-08,14.55,1.8,31.450252951096118,30.86003372681282,False,2026-05-08,3390956800.0,,1.8,3.051881993896236,True,2025-07-11,,专用设备,
605338,巴比食品,22.83,-0.39,-0.09,14785.0,33760615.0,2.01,0.62,28.96,1.39,23.12,22.66,22.7,22.92,5469306893.0,5469306893.0,2.29,-27.06,-27.11,19.32,22.83,27.890166666666666,-18.143192642568174,True,2026-05-08,19.32,2.29,25.75869726128793,28.34937083641747,True,2026-05-08,5469306893.0,,2.29,3.5041611914148056,True,2025-05-14,,食品加工,
688606,奥泰生物,56.52,3.82,2.08,9264.0,52011226.0,4.89,1.17,57.76,2.97,56.97,54.31,54.44,54.44,4480953925.0,4480953925.0,1.15,-18.57,-11.54,25.12,56.52,64.76008333333334,-12.724015951183931,True,2026-05-08,25.12,1.15,92.25289403383793,11.380145278450362,True,2026-05-08,4480953925.0,,1.15,4.423213021939136,True,2025-10-16,,医疗器械,
689009,九号公司-WD,42.88,0.47,0.2,71260.0,307413088.0,2.39,1.28,38.09,0.91,43.62,42.6,42.69,42.68,30987534347.0,23826600975.0,4.19,-17.16,-22.86,20.58,42.88,52.08308333333333,-17.6700048160231,True,2026-05-08,20.58,4.19,5.250596658711217,5.4559043348281016,True,2026-05-08,30987534347.0,,4.19,3.618773320895522,True,2025-10-31,,摩托车及其他,
