代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
000888,峨眉山Ａ,9.32,9.31,9.32,9.16,9.24,9.38,9.19,6216197.0,57725118.0,1.747,0.16,9.32,12.076500000000001,-22.82532190618143,True,2026-07-03,22.283832599118945,1.8065198237885465,26.753093694755453,51.2372634643377,True,2026-07-03,4910830110.475771,,,,正常,4910830110.475771,3.5407725321888406,True,2025-12-26,,自然景区,,,,,,,,,,,
000897,津滨发展,1.7,1.69,1.7,1.68,1.68,1.71,1.67,28734120.0,48663937.0,1.19,0.02,1.7,2.098666666666667,-18.996188055908526,True,2026-07-03,17.702903149289096,0.9153846153846156,67.96308503625576,0.34063260340632606,True,2026-07-03,2749362797.3372793,,,,正常,2749362797.3372793,5.588235294117648,True,2025-07-28,,房地产开发,,,,,,,,,,,
000899,赣能股份,9.96,9.96,9.97,9.93,9.94,10.08,9.87,10823318.0,107670712.0,0.302,0.03,9.96,11.928416666666665,-16.501910703432266,True,2026-07-03,9.572721834496512,1.5888334995014957,0.29188558085230587,73.00492610837438,True,2026-07-03,9717750489.798609,,,,正常,9717750489.798609,5.692771084337348,True,2026-06-15,,火电,,,,,,,,,,,
000910,大亚圣象,5.37,5.37,5.38,5.25,5.28,5.41,5.28,3227658.0,17271436.0,2.286,0.12,5.37,6.941333333333334,-22.637341529004996,True,2026-07-03,220.4031084166287,0.45438461538461544,97.41966893865627,0.2911208151382824,True,2026-07-03,2939524575.0,,,,正常,2939524575.0,3.5381750465549344,True,2026-05-15,,瓷砖地板,,,,,,,,,,,
000913,钱江摩托,10.59,10.58,10.59,10.47,10.54,10.68,10.5,3052100.0,32306883.0,1.146,0.12,10.59,14.014916666666666,-24.4376527390459,True,2026-07-03,6.551354466858791,1.1088472622478387,0.3396409509946628,0.727802037845706,True,2026-07-03,5574692489.999999,,,,正常,5574692489.999999,10.387157695939568,True,2026-05-27,,摩托车,,,,,,,,,,,
000915,华特达因,25.36,25.36,25.4,25.26,25.26,25.56,25.01,2601790.0,65769147.0,0.396,0.1,25.36,30.334999999999997,-16.40019779133014,True,2026-07-03,12.827556245151278,2.3707370054305663,8.25242718446602,18.106796116504853,True,2026-07-03,5942646459.304888,,,,正常,5942646459.304888,9.858044164037855,True,2026-07-01,,化学制剂,,,,,,,,,,,
000919,金陵药业,6.18,6.17,6.18,6.09,6.18,6.21,6.06,10453524.0,64213844.0,1.478,0.09,6.18,7.165416666666667,-13.752398674187372,True,2026-07-03,65.21283582089552,1.0248756218905473,84.60698689956332,3.6009732360097324,True,2026-07-03,3843493583.20398,,,,正常,3843493583.20398,3.2362459546925573,True,2026-06-17,,化学制剂,,,,,,,,,,,
000923,河钢资源,12.89,12.89,12.9,12.64,12.82,13.1,12.75,14546676.0,188559086.0,1.978,0.25,12.89,19.094999999999995,-32.49541764859909,True,2026-07-03,18.131661392405064,0.8668117088607594,50.65502183406113,3.7845705967976713,True,2026-07-03,8413676307.249208,,,,正常,8413676307.249208,4.654771140418929,True,2026-06-15,,铁矿石,,,,,,,,,,,
000928,中钢国际,5.04,5.03,5.04,5.0,5.0,5.1,4.99,12624785.0,63643190.0,0.8,0.04,5.04,6.48725,-22.309144861073648,True,2026-07-03,16.49820359281437,0.8752095808383233,84.92682926829268,0.1951219512195122,True,2026-07-03,7230608889.628742,,,,正常,7230608889.628742,4.166666666666667,True,2026-06-05,,国际工程承包,,,,,,,,,,,
000807,云铝股份,21.77,21.77,21.78,21.8,21.98,22.21,21.56,83756182.0,1834971655.0,-0.138,-0.03,21.77,31.025,-29.83078162771958,True,2026-07-02,8.69801376146789,2.1969724770642203,2.666666666666667,72.57590597453478,True,2026-07-02,75497432706.85,,,,沿用上一版：当前数据待补齐,75497432706.85,3.2108406063389987,True,2026-06-10,,铝,,,,,,,,,,,
