代码,名称,所属行业,现价,半年线,半年线乖离率,股息率,市盈率,市盈率10年分位,市净率,市净率10年分位,总市值,估值数据日期,股息数据日期,价格数据日期
002249,大洋电机,电机Ⅲ,6.65,9.198333333333332,-27.70429425620582,4.451127819548872,14.940333333333331,0.06153846153846154,1.6935333333333338,70.24271844660194,16397262198.100002,2026-07-17,2026-05-20,2026-07-17
002258,利尔化学,农药,12.87,14.382083333333332,-10.513659935683862,3.1080031080031083,23.374868735083535,67.55190729116369,1.3105489260143195,24.674070497344278,10301627124.400955,2026-07-17,2026-06-12,2026-07-17
002264,新 华 都,营销代理,6.05,8.15775,-25.837393889246428,3.3057851239669422,27.19402730375429,64.19180201082753,2.168088737201366,8.071532141130982,4354858365.000001,2026-07-17,2026-06-04,2026-07-17
002270,华明装备,输变电设备,17.23,26.1275,-34.05415749689025,3.5403366221706327,22.01765751211633,48.04253262445626,4.94539041464728,81.77863702271628,15441964176.436186,2026-07-17,2026-04-30,2026-07-17
002271,东方雨虹,防水材料,10.74,14.8795,-27.820155247152123,8.612662942271882,79.48838550247117,95.17808219178082,1.247397034596376,9.956289460903351,25654636560.627693,2026-07-17,2025-08-27,2026-07-17
002304,洋河股份,白酒Ⅲ,39.77,48.233333333333334,-17.54664823773323,3.696253457379934,59.000922040922035,98.02028005794303,1.2772545972545968,0.9657170449058425,59911320592.835815,2026-07-17,2026-06-30,2026-07-17
002315,焦点科技,跨境电商,24.18,30.44725,-20.583960784635725,5.376344086021505,20.36688360450563,15.741187831965235,3.7525907384230304,68.80733944954129,9971992289.088863,2026-07-17,2026-04-23,2026-07-17
002318,久立特材,特钢Ⅲ,18.17,28.494999999999997,-36.23442709247235,5.5035773252614195,11.716675062972287,2.1802325581395348,2.181620486985727,21.17248062015504,17755191982.09489,2026-07-17,2026-05-28,2026-07-17
002322,理工能科,垂直应用软件,10.23,12.247833333333334,-16.475022793147087,5.962854349951123,18.20522448979592,49.250845819236346,1.3674795918367346,30.111164813919768,3739351133.1,2026-07-17,2026-04-30,2026-07-17
002372,伟星新材,管材,7.79,10.20675,-23.677958213927052,5.7766367137355585,16.614903381642513,5.910852713178294,2.7848309178743973,0.5329457364341085,12401975926.858696,2026-07-17,2026-05-08,2026-07-17
002375,亚厦股份,装修装饰,3.43,4.0245,-14.772021369114164,3.7317784256559765,13.979244186046508,0.6662965019433648,0.5683430232558141,4.10958904109589,4596187988.0203495,2026-07-17,2026-07-03,2026-07-17
002376,新北洋,其他计算机设备,6.03,6.8725000000000005,-12.25900327391779,3.316749585406302,61.263125,64.97517926089354,1.3399999999999992,10.252672497570456,4887692122.062499,2026-07-17,2026-05-29,2026-07-17
002391,长青股份,农药,5.08,6.0024999999999995,-15.368596418159097,3.937007874015748,60.46806324110671,97.4587039390089,0.7931225296442685,13.883495145631066,3299930153.9999995,2026-07-17,2026-06-16,2026-07-17
002393,力生制药,化学制剂,14.64,16.719833333333334,-12.439318573749736,6.147540983606557,10.950081743869212,3.5248672139063255,1.0172207084468667,56.784162240463544,4523236107.400543,2026-07-17,2026-04-28,2026-07-17
