代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,最高,最低,今开,昨收,总市值,流通市值,市净率,60日涨跌幅,年初至今涨跌幅,市盈率TTM
002441,众业达,10.22,-1.26,-0.13,48854.0,50055806.75,1.16,1.23,14.52,0.62,10.32,10.2,10.3,10.35,5565235684.0,4073223198.0,1.23,4.61,8.72,30.11
002440,闰土股份,10.56,-1.68,-0.18,226183.0,240556537.54,1.96,2.39,16.15,0.66,10.75,10.54,10.66,10.74,11869438997.0,9993555560.0,1.17,-16.12,41.37,14.74
002439,启明星辰,16.71,3.34,0.54,655921.0,1101080026.35,7.11,9.0,103.89,2.05,17.15,16.0,16.36,16.17,20242497426.0,12174892649.0,1.86,17.76,18.34,-38.54
002438,江苏神通,17.15,-1.04,-0.18,52508.0,90259904.8,2.19,1.12,25.45,1.01,17.39,17.01,17.26,17.33,8704267456.0,8041303439.0,2.29,-0.46,7.86,30.93
002437,誉衡药业,3.32,-2.06,-0.07,667766.0,222779776.1,2.65,3.2,19.5,1.33,3.39,3.3,3.38,3.39,7403162178.0,6925684841.0,3.1,-2.64,8.14,17.99
002436,兴森科技,32.05,-1.14,-0.37,1067327.0,3431320871.42,3.61,7.03,726.53,1.18,32.74,31.57,32.22,32.42,54474537694.0,48649670314.0,10.21,35.86,51.39,377.46
002434,万里扬,7.8,4.56,0.34,280638.0,215365204.44,6.3,2.14,35.59,2.64,7.87,7.4,7.47,7.46,10238280000.0,10228298340.0,1.73,-21.37,-18.15,50.13
002432,九安医疗,76.75,-1.98,-1.55,232041.0,1765443131.46,5.17,5.0,30.4,1.23,78.5,74.45,76.61,78.3,35697319138.0,35649614331.0,1.65,84.54,91.68,15.56
002431,ST棕榈,1.79,-4.79,-0.09,78398.0,14033242.0,0.0,0.43,-6.37,4.1,1.79,1.79,1.79,1.88,3226304529.0,3226304529.0,10.86,-31.42,-25.1,-2.79
002430,杭氧股份,29.94,-0.3,-0.09,156559.0,473514704.24,2.4,1.6,27.62,0.8,30.66,29.94,30.03,30.03,29292061544.0,29279450816.0,2.91,-3.92,0.23,29.65
002429,兆驰股份,12.48,3.31,0.4,1359936.0,1681759011.5,6.13,3.01,67.38,1.49,12.64,11.9,11.92,12.08,56496218775.0,56463671385.0,3.34,28.79,68.19,47.95
002428,云南锗业,86.15,7.42,5.95,952860.0,8179649257.4,10.87,14.59,1544.57,1.69,88.22,79.5,79.77,80.2,56266288000.0,56259019094.0,38.3,145.16,171.34,2953.03
002427,尤夫股份,5.79,1.76,0.1,163740.0,94699947.0,4.04,1.66,-71.13,1.34,5.86,5.63,5.67,5.69,5705655779.0,5700359139.0,6.03,-20.58,-13.71,449.03
002426,胜利精密,4.06,1.5,0.06,1280234.0,516809296.28,3.75,3.76,-45.75,1.65,4.1,3.95,3.98,4.0,13814661219.0,13814555557.0,8.41,-2.87,6.01,-18.1
002425,凯撒文化,3.65,1.67,0.06,237272.0,87375798.0,3.9,2.58,73.64,0.99,3.74,3.6,3.6,3.59,3491827491.0,3358678619.0,1.41,-7.36,3.11,-6.35
002424,ST百灵,4.97,-1.58,-0.08,83722.0,41768083.0,1.98,0.69,61.6,1.35,5.05,4.95,5.03,5.05,6946064048.0,6029676125.0,2.18,17.49,14.25,-69.22
002423,中粮资本,10.22,0.0,0.0,64135.0,65690097.0,0.78,0.28,21.81,0.85,10.28,10.2,10.2,10.22,23547958977.0,23547958977.0,0.99,-9.88,-12.65,23.29
002422,科伦药业,33.68,-1.03,-0.35,64241.0,216046116.47,2.12,0.49,29.52,0.65,34.16,33.44,34.01,34.03,53577511085.0,43737263645.0,2.18,8.82,14.75,34.1
002421,达实智能,3.0,-0.99,-0.03,524288.0,158589637.5,1.65,2.62,-98.04,1.12,3.05,3.0,3.03,3.03,6361744917.0,6010131558.0,2.34,5.26,5.26,-10.13
002420,毅昌科技,7.31,0.41,0.03,74308.0,53942588.0,2.2,1.86,40.34,1.05,7.35,7.19,7.29,7.28,3006529900.0,2920778849.0,3.79,-7.59,-4.94,15.98
002419,天虹股份,5.44,0.0,0.0,73899.0,40191554.56,0.92,0.63,10.74,0.63,5.47,5.42,5.44,5.44,6358531760.0,6357730584.0,1.54,-5.06,-1.63,79.22
002418,康盛股份,6.24,-2.04,-0.13,893459.0,557536531.59,2.35,7.86,366.79,0.96,6.33,6.18,6.33,6.37,7091136000.0,7091117517.0,4.87,30.27,30.82,408.35
002416,爱施德,13.88,-1.77,-0.25,197860.0,275340488.78,2.34,1.62,33.61,1.07,14.1,13.77,14.07,14.13,17201231467.0,16987791740.0,2.87,8.44,10.33,45.72
002415,海康威视,35.42,-1.5,-0.54,394263.0,1396706549.36,1.89,0.44,29.18,0.84,35.88,35.2,35.88,35.96,324619750301.0,320423565180.0,3.77,13.05,18.7,21.73
002414,高德红外,14.89,-1.59,-0.24,573002.0,855073365.62,1.72,1.69,43.45,0.87,15.07,14.81,15.01,15.13,63591260648.0,50605339098.0,8.58,-10.25,1.5,65.66
002413,雷科防务,13.63,2.1,0.28,738107.0,998155554.24,2.4,5.7,-282.02,1.49,13.68,13.36,13.36,13.35,17982614082.0,17656717674.0,5.47,2.25,8.61,-272.9
002412,汉森制药,7.15,1.85,0.13,163497.0,116714816.71,2.85,3.28,23.42,0.94,7.21,7.01,7.05,7.02,3597880000.0,3559591750.0,1.48,6.08,11.54,15.97
002410,广联达,11.37,-0.26,-0.03,303197.0,346774040.59,2.28,1.93,137.3,1.63,11.58,11.32,11.33,11.4,18782607169.0,17852246435.0,3.09,-17.37,-9.62,45.87
002409,雅克科技,89.08,-3.26,-3.0,93082.0,832680294.69,3.0,2.92,39.74,0.91,90.98,88.22,90.52,92.08,42395637556.0,28374006303.0,5.23,-7.49,20.22,42.11
002408,齐翔腾达,5.92,-2.79,-0.17,331446.0,198754926.08,3.94,1.2,-45.92,1.19,6.14,5.9,6.1,6.09,16829688617.0,16286493198.0,1.54,0.34,21.31,-25.06
002407,多氟多,35.62,-5.11,-1.92,1185074.0,4335449296.01,7.41,10.99,28.23,1.17,38.28,35.5,37.04,37.54,42403208108.0,38425692829.0,4.83,23.04,5.04,80.99
002406,远东传动,8.26,1.6,0.13,471090.0,384032085.13,3.69,7.82,33.49,1.65,8.3,8.0,8.08,8.13,6031659177.0,4974278537.0,1.46,1.85,4.03,34.9
002405,四维图新,9.41,0.32,0.03,318142.0,299306865.02,1.71,1.35,-38.6,0.89,9.49,9.33,9.39,9.38,22307805340.0,22166063366.0,2.53,-10.97,4.44,199.98
002404,嘉欣丝绸,7.11,0.28,0.02,54988.0,38974573.0,1.27,1.21,18.13,0.81,7.14,7.05,7.08,7.09,3981966457.0,3238913794.0,1.92,2.89,5.96,21.47
002403,爱仕达,11.7,2.72,0.31,57456.0,66693669.5,5.27,1.93,-95.04,1.31,11.81,11.21,11.33,11.39,3985471374.0,3476789012.0,2.88,-3.39,-7.58,-17.08
002402,和而泰,33.18,0.45,0.15,270749.0,895064472.62,3.15,3.33,45.12,0.99,33.43,32.39,32.8,33.03,30679498296.0,26995842055.0,4.45,-11.59,-15.18,46.2
002401,中远海科,15.51,5.94,0.87,118996.0,180559776.33,8.13,3.2,197.43,4.12,15.72,14.53,14.59,14.64,5764577504.0,5759631210.0,3.47,-4.79,-2.64,163.13
002400,省广集团,9.63,-1.83,-0.18,944797.0,920642170.82,2.65,5.47,274.17,1.08,9.88,9.62,9.88,9.81,16788336543.0,16622965271.0,3.35,-20.54,8.57,210.94
002399,海普瑞,10.87,0.46,0.05,28113.0,30471045.0,1.2,0.23,21.26,1.05,10.9,10.77,10.82,10.82,15949509737.0,13557082522.0,1.31,-12.13,-7.8,41.92
002398,垒知集团,5.07,0.4,0.02,64892.0,32841288.12,0.99,1.06,31.42,0.78,5.08,5.03,5.04,5.05,3539052057.0,3090161583.0,0.98,-13.78,-9.79,78.18
002397,梦洁股份,5.52,9.96,0.5,349412.0,189538081.73,9.56,5.39,65.17,1.39,5.52,5.04,5.1,5.02,4127753565.0,3576121501.0,3.37,24.04,36.97,73.84
002396,星网锐捷,27.33,0.04,0.01,106543.0,289838665.22,3.15,1.83,107.49,0.97,27.61,26.75,27.08,27.32,16007047028.0,15941049998.0,2.28,-4.77,-9.8,39.62
002395,双象股份,20.16,1.41,0.28,65955.0,132071798.1,3.42,2.46,44.68,0.83,20.37,19.69,19.88,19.88,5407093440.0,5406624841.0,3.48,1.66,20.5,32.92
002394,联发股份,12.9,-3.44,-0.46,66656.0,87202486.0,3.82,2.06,93.21,1.05,13.39,12.88,13.39,13.36,4175730000.0,4168264847.0,0.96,-10.42,-18.66,17.26
002393,力生制药,16.47,-0.72,-0.12,20482.0,33860257.24,1.33,0.68,24.52,1.05,16.67,16.45,16.58,16.59,5088640621.0,4944581303.0,0.92,-6.37,-5.07,12.32
002392,北京利尔,9.64,0.52,0.05,246597.0,237642689.0,3.65,2.13,22.0,0.87,9.79,9.44,9.48,9.59,11476331688.0,11158748944.0,1.93,16.57,28.88,28.34
002391,长青股份,6.48,0.15,0.01,40266.0,26082554.69,1.55,0.87,34.25,0.6,6.54,6.44,6.48,6.47,4209359724.0,3007357055.0,0.98,-0.77,9.27,77.13
002390,信邦制药,3.33,0.0,0.0,142202.0,47469876.0,1.2,0.74,33.26,0.62,3.36,3.32,3.33,3.33,6473026720.0,6419542894.0,0.95,-0.89,3.42,50.69
002389,航天彩虹,22.79,1.74,0.39,246836.0,560272541.48,3.17,2.51,55.51,1.7,22.94,22.23,22.3,22.4,22446236119.0,22442707201.0,2.77,-2.65,-4.96,141.25
002388,新亚制程,5.58,0.36,0.02,117724.0,65638493.0,1.8,2.33,155.1,0.82,5.62,5.52,5.55,5.56,2849692608.0,2824196723.0,2.97,3.33,-12.54,-91.64
002387,维信诺,8.19,0.24,0.02,66068.0,53940013.06,2.33,0.47,-4.57,1.04,8.26,8.07,8.26,8.17,11439759592.0,11424753874.0,4.39,-5.75,-4.99,-4.6
002386,天原股份,6.63,-1.04,-0.07,352487.0,236787238.8,3.13,2.71,28.18,0.69,6.82,6.61,6.68,6.7,8629920094.0,8628312080.0,1.13,9.59,22.1,56.41
002385,大北农,3.85,0.0,0.0,280829.0,108193347.38,0.78,0.8,-23.66,0.84,3.87,3.84,3.85,3.85,16555302475.0,13565922797.0,2.23,-16.12,-3.75,-17.41
002384,东山精密,210.46,-0.29,-0.61,618442.0,12939140895.35,3.59,4.46,86.83,1.22,213.58,206.01,210.0,211.07,385480121185.0,291765269823.0,17.03,172.05,148.62,188.95
002383,合众思壮,9.58,1.27,0.12,114382.0,109130812.48,2.75,1.54,4189.43,1.47,9.65,9.39,9.43,9.46,7092651722.0,7092651722.0,4.72,-14.0,-23.91,-44.2
002382,蓝帆医疗,7.05,1.88,0.13,176556.0,123073028.96,2.46,1.77,1843.65,0.73,7.06,6.89,6.89,6.92,7100596567.0,7031517149.0,1.03,19.09,25.89,-8.44
002381,双箭股份,6.73,1.51,0.1,37500.0,25130928.65,1.51,1.17,40.31,0.88,6.75,6.65,6.67,6.63,2769919402.0,2156269959.0,1.28,-4.94,2.12,48.87
002380,科远智慧,36.69,-0.03,-0.01,53993.0,196614946.2,2.64,3.8,28.87,1.2,36.92,35.95,36.61,36.7,8805293602.0,5217464393.0,3.62,25.35,34.89,57.09
002379,宏桥控股,23.24,-1.53,-0.36,181421.0,424353321.23,3.73,1.6,11.2,1.01,23.96,23.08,23.45,23.6,302843187014.0,26409326020.0,5.79,-22.61,-1.82,15.37
002378,章源钨业,33.49,-3.04,-1.05,581099.0,1949870177.58,3.36,4.86,26.38,0.92,34.17,33.01,33.66,34.54,40235477634.0,40024614648.0,14.79,46.95,136.18,63.95
002377,国创高新,3.64,3.41,0.12,392528.0,142413530.64,7.1,4.5,122.11,0.99,3.73,3.48,3.51,3.52,3335423732.0,3175618522.0,8.39,13.4,27.27,147.47
002376,新北洋,7.41,0.54,0.04,75338.0,55784629.23,1.36,0.96,159.89,0.98,7.44,7.34,7.35,7.37,6006268429.0,5832658531.0,1.58,-5.48,-4.02,75.28
002375,亚厦股份,4.27,-1.84,-0.08,168264.0,72243676.28,2.76,1.26,21.78,1.34,4.36,4.24,4.34,4.35,5721785046.0,5683354888.0,0.69,1.43,12.66,17.4
002374,中锐股份,3.19,1.59,0.05,114915.0,36674553.33,1.91,1.06,-7.16,0.98,3.22,3.16,3.18,3.14,3461817613.0,3461817613.0,6.47,-5.9,-11.39,-10.68
002373,千方科技,9.24,0.76,0.07,145996.0,135094128.62,2.51,1.06,977.08,0.69,9.35,9.12,9.15,9.17,14600939107.0,12728905968.0,1.27,-25.18,-21.36,285.2
002372,伟星新材,10.47,-0.38,-0.04,51580.0,54307838.0,2.0,0.35,34.88,0.77,10.66,10.45,10.5,10.51,16668637734.0,15399881522.0,3.33,-13.47,3.87,22.33
002371,北方华创,540.5,-2.11,-11.64,56710.0,3084195695.66,3.19,0.78,59.91,0.75,554.8,537.2,543.0,552.14,391772028948.0,391458889192.0,9.97,13.73,17.74,70.26
002370,亚太药业,6.69,-0.45,-0.03,120795.0,81031699.0,1.19,1.62,-481.98,0.93,6.76,6.68,6.72,6.72,4988515776.0,4988515776.0,4.46,-5.91,-8.48,49.14
002369,卓翼科技,7.49,0.4,0.03,68266.0,50936743.0,1.88,1.21,-51.28,0.95,7.5,7.36,7.4,7.46,4246502537.0,4240864267.0,22.7,-9.76,-13.21,-17.2
002368,太极股份,17.63,1.26,0.22,137387.0,245390217.52,5.17,2.22,-22.96,1.32,18.2,17.3,17.41,17.41,10987567572.0,10934441365.0,2.76,-27.12,-28.01,-12.41
002367,康力电梯,6.18,0.82,0.05,60261.0,37068998.96,1.31,0.76,33.48,1.04,6.19,6.11,6.14,6.13,4930066918.0,4910478018.0,1.35,-23.42,-23.33,16.55
002366,融发核电,7.52,-0.92,-0.07,297488.0,223732648.41,1.19,1.61,387.66,0.84,7.57,7.48,7.53,7.59,15648651053.0,13914683324.0,3.37,0.67,0.13,-211.02
002365,永安药业,13.99,0.94,0.13,40502.0,56464117.5,1.59,1.65,133.22,0.83,14.02,13.8,13.86,13.86,4122608175.0,3431585653.0,2.07,-5.66,-6.23,119.16
002364,中恒电气,45.35,-2.05,-0.95,300381.0,1360952621.3,3.39,5.38,256.24,0.87,46.13,44.56,45.2,46.3,25557670936.0,25310005516.0,10.22,44.43,71.52,195.07
002363,隆基机械,8.56,0.71,0.06,50639.0,43266491.0,2.12,1.22,50.88,1.08,8.62,8.44,8.5,8.5,3568623777.0,3558889910.0,1.64,-5.62,-15.25,54.31
002362,汉王科技,19.4,2.05,0.39,41831.0,80596360.27,2.63,2.02,-28.05,1.74,19.44,18.94,18.99,19.01,4742420132.0,4027322281.0,5.23,-10.97,-10.35,-21.13
002361,神剑股份,22.86,5.83,1.26,2017427.0,4489345556.81,9.35,24.94,-1031.74,1.4,23.16,21.14,21.5,21.6,21740659391.0,18494174089.0,9.92,92.1,59.41,-5665.79
002360,ST同德,6.29,4.14,0.25,157058.0,97852260.97,4.47,4.82,-56.92,0.78,6.34,6.07,6.17,6.04,2527160020.0,2047519026.0,2.75,19.81,29.96,-2.27
002358,森源电气,7.52,-1.96,-0.15,171656.0,129492887.0,1.83,1.85,32.85,1.02,7.64,7.5,7.63,7.67,6991772467.0,6991762879.0,2.08,9.78,38.75,70.98
002357,富临运业,12.39,5.81,0.68,144628.0,177179189.0,8.03,4.61,14.82,1.95,12.56,11.62,11.63,11.71,3884129156.0,3883989769.0,2.19,-4.98,16.12,22.75
002356,赫美集团,3.5,0.86,0.03,537901.0,185852037.8,4.32,4.1,-152.97,1.87,3.53,3.38,3.43,3.47,4589390824.0,4589364574.0,7.66,-12.94,-11.62,125.67
002355,兴民智通,6.68,1.21,0.08,228551.0,151412357.5,3.48,3.7,-6.68,1.27,6.72,6.49,6.58,6.6,4465453080.0,4129353222.0,5.46,12.08,10.23,-7.12
002354,天娱数科,6.38,-0.47,-0.03,1490427.0,979846350.43,5.77,9.17,87.27,2.0,6.75,6.38,6.54,6.41,10556257532.0,10371926310.0,7.68,-13.78,0.16,-442.58
002353,杰瑞股份,146.34,-2.96,-4.46,133825.0,1940006106.4,4.52,1.94,63.68,1.23,149.6,142.79,149.0,150.8,149831062601.0,101126590919.0,6.38,65.82,106.61,53.45
002352,顺丰控股,37.65,0.21,0.08,134459.0,504757255.05,1.04,0.28,18.78,0.8,37.69,37.3,37.41,37.57,189734554899.0,179590951009.0,1.89,0.4,-1.75,16.63
002351,漫步者,11.36,0.8,0.09,47100.0,53461694.18,1.77,0.9,24.7,1.47,11.43,11.23,11.26,11.27,10100255520.0,5919204964.0,3.28,-7.79,-5.8,23.43
002350,北京科锐,16.63,4.26,0.68,424507.0,697351187.13,4.64,8.0,-94.38,2.32,16.84,16.1,16.17,15.95,9018970367.0,8823047681.0,5.03,77.67,104.3,449.35
002349,精华制药,7.41,-0.27,-0.02,68145.0,50603715.64,1.21,0.84,23.33,0.88,7.47,7.38,7.43,7.43,6147891068.0,6033080528.0,2.18,-3.01,2.07,27.58
