date,open,close,high,low,amount
2025-11-28,56.2,56.91,57.1,55.8,5784321.0
2025-12-01,56.67,58.91,59.27,56.6,10943720.0
2025-12-02,58.78,59.6,59.99,58.6,8269960.0
2025-12-03,59.55,59.05,59.83,58.77,4868190.0
2025-12-04,59.59,59.78,60.27,58.88,6808993.0
2025-12-05,59.77,58.89,59.78,57.58,7949004.0
2025-12-08,59.0,58.35,59.5,57.98,6489184.0
2025-12-09,58.36,57.58,58.75,57.52,4811881.0
2025-12-10,57.43,57.89,58.13,56.0,8509028.0
2025-12-11,57.95,57.46,58.25,57.26,4350286.0
2025-12-12,57.46,57.87,58.45,57.13,4845748.0
2025-12-15,57.8,56.97,58.7,56.93,5433291.0
2025-12-16,57.26,56.97,57.42,56.65,4445254.0
2025-12-17,56.97,57.38,57.47,56.38,5026041.0
2025-12-18,57.3,56.61,57.35,56.61,4593299.0
2025-12-19,56.88,57.82,58.1,56.75,4839743.0
2025-12-22,58.05,58.97,59.45,57.89,7396682.0
2025-12-23,58.88,58.58,59.25,58.48,4724123.0
2025-12-24,58.48,59.02,59.46,58.38,3974798.0
2025-12-25,58.78,59.07,59.35,58.54,3726782.0
2025-12-26,59.0,56.87,59.05,56.79,9845504.0
2025-12-29,56.78,55.61,57.34,55.53,8234821.0
2025-12-30,55.61,55.8,56.35,55.26,4441402.0
2025-12-31,55.8,55.59,56.35,55.52,4451676.0
2026-01-05,55.74,56.33,56.34,54.9,7818847.0
2026-01-06,56.11,57.14,57.93,56.1,7290223.0
2026-01-07,57.07,55.6,57.49,55.5,11647881.0
2026-01-08,55.61,56.01,56.46,55.21,7177371.0
2026-01-09,56.01,56.54,56.98,55.69,8862344.0
2026-01-12,56.55,57.25,57.38,55.76,11620743.0
2026-01-13,57.0,55.65,57.58,55.42,10465919.0
2026-01-14,55.55,54.23,55.85,53.8,18946672.0
2026-01-15,54.16,53.74,54.29,53.21,12498362.0
2026-01-16,53.77,53.67,54.39,53.3,13666324.0
2026-01-19,53.7,54.13,54.8,53.7,10536936.0
2026-01-20,54.3,53.45,54.8,53.07,10888137.0
2026-01-21,53.41,53.48,53.56,52.61,9677107.0
2026-01-22,53.69,55.4,55.42,53.68,17518921.0
2026-01-23,55.49,55.99,56.56,55.13,13871546.0
2026-01-26,55.99,55.8,56.93,54.61,11767043.0
2026-01-27,55.74,56.03,56.64,54.5,9812214.0
2026-01-28,55.75,54.8,55.9,54.6,9757308.0
2026-01-29,54.7,54.45,55.87,54.18,9323365.0
2026-01-30,52.0,51.76,53.39,51.33,18316340.0
2026-02-02,51.69,50.06,51.74,50.04,10594945.0
2026-02-03,50.61,50.11,51.0,49.35,10520916.0
2026-02-04,50.2,50.18,50.34,49.5,8320305.0
2026-02-05,50.18,52.54,52.99,49.9,14171045.0
2026-02-06,52.39,53.25,54.16,51.9,9933650.0
2026-02-09,53.55,53.16,54.2,52.9,8584035.0
2026-02-10,53.47,53.17,54.07,52.92,5048127.0
2026-02-11,53.41,53.58,54.16,53.2,5153063.0
2026-02-12,53.5,52.91,54.18,52.85,6966537.0
2026-02-13,53.3,52.27,53.33,52.2,4783814.0
2026-02-24,53.02,52.68,53.55,52.68,5623032.0
2026-02-25,52.68,52.65,53.39,52.59,5478123.0
2026-02-26,52.65,50.99,52.8,50.79,10684020.0
2026-02-27,51.1,50.9,51.24,50.48,4821321.0
2026-03-02,50.37,49.08,50.54,49.0,9580335.0
2026-03-03,49.1,47.39,49.43,47.39,10583424.0
2026-03-04,47.0,47.68,48.49,46.98,6808628.0
2026-03-05,48.25,47.4,48.38,47.28,6960391.0
2026-03-06,47.8,48.2,48.46,47.32,6209204.0
2026-03-09,47.6,46.82,47.8,45.87,9444237.0
2026-03-10,47.35,47.62,48.18,47.19,6029934.0
2026-03-11,47.86,47.52,48.1,47.07,6210590.0
2026-03-12,47.52,46.81,47.67,46.48,6237962.0
2026-03-13,46.86,49.4,50.41,46.51,17957043.0
2026-03-16,48.88,48.99,50.1,48.12,9831235.0
2026-03-17,49.05,49.8,50.2,48.7,9603114.0
2026-03-18,49.88,49.71,50.28,49.43,6156440.0
2026-03-19,49.21,48.91,50.3,48.72,7078744.0
2026-03-20,49.08,49.31,50.24,49.0,7394814.0
2026-03-23,49.2,50.5,52.35,48.91,23956241.0
2026-03-24,50.7,48.7,50.8,47.35,17772839.0
2026-03-25,48.41,48.05,48.68,47.65,12994808.0
2026-03-26,48.19,46.45,48.19,45.88,11511918.0
2026-03-27,46.0,46.51,47.68,45.5,10111224.0
2026-03-30,46.05,44.73,46.28,44.51,16520637.0
2026-03-31,45.16,44.22,46.64,43.93,16220589.0
2026-04-01,44.8,44.93,45.28,44.32,10283735.0
2026-04-02,44.7,43.48,44.92,43.19,11226006.0
2026-04-03,43.79,44.27,44.8,43.48,10459978.0
2026-04-07,44.6,44.31,45.03,43.85,8056643.0
2026-04-08,45.1,45.35,46.27,45.03,12308461.0
2026-04-09,45.08,44.91,45.48,44.61,7419775.0
2026-04-10,45.1,44.77,45.78,44.68,10412513.0
2026-04-13,44.3,43.86,44.75,43.81,9300107.0
2026-04-14,44.22,43.94,44.46,43.4,9173511.0
2026-04-15,44.27,45.18,45.79,44.27,15358733.0
2026-04-16,45.5,45.81,46.24,45.27,10640435.0
2026-04-17,45.7,45.1,46.26,44.88,8660865.0
2026-04-20,45.03,45.67,46.2,44.77,9551244.0
2026-04-21,45.92,44.92,45.97,44.61,7342957.0
2026-04-22,44.99,45.53,46.73,44.31,11227386.0
2026-04-23,45.02,43.85,45.07,43.68,14866507.0
2026-04-24,43.74,43.14,43.85,41.7,15233998.0
2026-04-27,42.98,44.4,44.73,42.88,10630333.0
2026-04-28,44.18,43.6,44.66,43.39,7481758.0
2026-04-29,43.77,45.5,45.94,43.3,12948955.0
2026-04-30,44.0,43.74,44.4,42.44,29532039.0
2026-05-06,43.84,42.77,43.99,42.61,17073745.0
2026-05-07,42.95,42.68,43.58,42.54,11236541.0
2026-05-08,42.69,43.04,43.62,42.6,11360139.0
2026-05-11,42.84,42.23,42.99,42.15,12916508.0
2026-05-12,42.18,41.1,42.18,40.82,14496872.0
2026-05-13,41.09,40.76,41.19,40.02,11797032.0
2026-05-14,40.76,41.01,42.17,40.57,12858375.0
2026-05-15,41.46,41.58,42.4,40.98,13746783.0
2026-05-18,41.46,40.51,41.59,40.02,10830593.0
2026-05-19,40.39,40.47,41.13,40.03,9156499.0
2026-05-20,40.16,40.0,40.68,39.18,12348504.0
2026-05-21,39.94,39.5,40.95,39.36,11971605.0
2026-05-22,39.95,39.68,40.01,39.3,8254815.0
2026-05-25,39.7,38.95,39.88,38.88,9865932.0
2026-05-26,39.01,39.51,39.63,38.8,8975967.0
2026-05-27,39.49,38.0,39.68,37.95,11402715.0
2026-05-28,38.55,38.92,39.44,37.78,14237160.0
2026-05-29,38.66,38.42,39.19,38.0,10967640.0
2026-06-01,38.3,38.67,39.45,38.02,11210975.0
2026-06-02,38.16,37.84,38.66,37.71,8465696.0
2026-06-03,37.76,36.9,37.94,36.67,12218978.0
2026-06-04,36.74,36.23,37.07,36.09,8143460.0
2026-06-05,36.2,36.36,37.62,35.74,12309185.0
2026-06-08,36.0,36.95,37.73,35.95,14679175.0
2026-06-09,37.0,36.08,37.0,35.64,10387131.0
2026-06-10,35.73,35.11,35.98,34.64,9617869.0
2026-06-11,34.91,34.67,35.6,33.91,13164945.0
2026-06-12,34.88,35.8,36.77,34.44,19733334.0
2026-06-15,36.3,36.24,36.96,35.7,13476984.0
2026-06-16,36.17,35.21,36.17,35.2,9040888.0
2026-06-17,35.21,35.08,35.58,34.55,7810771.0
2026-06-18,35.09,33.94,35.28,33.87,11909360.0
2026-06-22,34.25,34.0,34.77,33.22,13692765.0
2026-06-23,34.11,33.01,34.3,32.88,10809497.0
2026-06-24,33.14,33.31,33.63,32.22,13206336.0
2026-06-25,33.4,35.57,36.29,32.42,23061096.0
2026-06-26,36.69,37.52,38.39,35.79,30196441.0
2026-07-01,,38.82,,,
2026-07-17,,39.55,,,
